,date,CallTypeId,lat,lon,address,geometry,index_right,zip,po_name
1246,2020-05-03 21:06:00,911 Calls,36.279441,-86.71414399999999,WIRELESS CALLER,POINT (-86.71414399999999 36.279441),0,37115,MADISON
1261,2020-05-03 21:13:00,911 Calls,36.240495,-86.737511,3526D SLATE DR - SE,POINT (-86.737511 36.240495),0,37115,MADISON
1262,2020-05-03 21:13:00,911 Calls,36.292702,-86.689575,311 SHEPHERD HILLS DR,POINT (-86.689575 36.292702),0,37115,MADISON
1270,2020-05-03 21:18:00,911 Calls,36.293056,-86.69171999999999,725C MYATT DR - SE,POINT (-86.69171999999999 36.293056),0,37115,MADISON
1273,2020-05-03 21:19:00,911 Calls,36.245881,-86.713886,105 W WEBSTER ST - SE,POINT (-86.713886 36.245881),0,37115,MADISON
1279,2020-05-03 21:21:00,911 Calls,36.249497,-86.744764,WIRELESS CALLER,POINT (-86.744764 36.249497),0,37115,MADISON
1306,2020-05-03 21:33:00,911 Calls,36.25175,-86.742897,651B DUE WEST AV - NW,POINT (-86.742897 36.25175),0,37115,MADISON
1344,2020-05-03 21:54:00,911 Calls,36.271727,-86.689317,96 D VANDIVER DR - SECTOR NW,POINT (-86.689317 36.271727),0,37115,MADISON
1349,2020-05-03 21:57:00,911 Calls,36.271695,-86.689317,WIRELESS CALLER,POINT (-86.689317 36.271695),0,37115,MADISON
1374,2020-05-03 22:10:00,911 Calls,36.256664,-86.743607,600-B VANOKE DR - NE Sector,POINT (-86.743607 36.256664),0,37115,MADISON
1382,2020-05-03 22:16:00,911 Calls,36.246557,-86.67232299999999,1202 BRYAN ST - NW SECTOR,POINT (-86.67232299999999 36.246557),0,37115,MADISON
1383,2020-05-03 22:16:00,911 Calls,36.243854,-86.675777,1548 HUDSON RD - N,POINT (-86.675777 36.243854),0,37115,MADISON
1390,2020-05-03 22:17:00,911 Calls,36.248231,-86.684489,607E LARKIN SPRINGS RD - SE,POINT (-86.684489 36.248231),0,37115,MADISON
1394,2020-05-03 22:18:00,911 Calls,36.248435,-86.676829,736 NEELYS BEND RD - SECTOR SE,POINT (-86.676829 36.248435),0,37115,MADISON
1395,2020-05-03 22:18:00,911 Calls,36.249765000000004,-86.672366,WIRELESS 911 CALLER,POINT (-86.672366 36.249765),0,37115,MADISON
1400,2020-05-03 22:19:00,911 Calls,36.241440000000004,-86.671314,WIRELESS CALLER,POINT (-86.671314 36.24144),0,37115,MADISON
1449,2020-05-03 22:37:00,911 Calls,36.246502,-86.722748,1210 GALLATIN RD S - SW Sector,POINT (-86.722748 36.246502),0,37115,MADISON
1455,2020-05-03 22:39:00,911 Calls,36.241493,-86.668911,WIRELESS CALLER,POINT (-86.66891099999999 36.241493),0,37115,MADISON
1491,2020-05-03 23:06:00,911 Calls,36.242255,-86.665585,WIRELESS CALLER,POINT (-86.66558499999999 36.242255),0,37115,MADISON
1520,2020-05-03 23:48:00,911 Calls,36.251976,-86.716034,118 EMMITT AV,POINT (-86.71603399999999 36.251976),0,37115,MADISON
1522,2020-05-03 23:48:00,911 Calls,36.251976,-86.716034,118 EMMITT AV,POINT (-86.71603399999999 36.251976),0,37115,MADISON
1524,2020-05-03 23:49:00,911 Calls,36.251975,-86.716032,118 EMMITT AV,POINT (-86.716032 36.251975),0,37115,MADISON
1538,2020-05-04 00:10:00,911 Calls,36.243167,-86.67062800000001,WIRELESS CALLER,POINT (-86.67062800000001 36.243167),0,37115,MADISON
1,2020-05-03 16:30:00,911 Calls,36.143108000000005,-86.80062099999999,1161 21ST AV S - SE,POINT (-86.80062099999999 36.14310800000001),30,37232,NASHVILLE
447,2020-05-03 18:04:00,911 Calls,36.143108000000005,-86.80062099999999,1161 21ST AV S - SE,POINT (-86.80062099999999 36.14310800000001),30,37232,NASHVILLE
1233,2020-05-03 21:00:00,911 Calls,36.143108000000005,-86.80062099999999,1161 21ST AV S - W,POINT (-86.80062099999999 36.14310800000001),30,37232,NASHVILLE
3,2020-05-03 16:30:00,911 Calls,36.130021,-86.927819,5758 RIVER RD - SW,POINT (-86.927819 36.130021),12,37209,NASHVILLE
4,2020-05-03 16:31:00,911 Calls,36.142379999999996,-86.88188199999999,3744B ANNEX AVE - SE,POINT (-86.88188199999999 36.14238),12,37209,NASHVILLE
5,2020-05-03 16:31:00,911 Calls,36.136683000000005,-86.861322,3744B ANNEX AVE - SE,POINT (-86.861322 36.136683),12,37209,NASHVILLE
15,2020-05-03 16:33:00,911 Calls,36.150309,-86.85185899999999,WIRELESS CALLER,POINT (-86.85185899999999 36.150309),12,37209,NASHVILLE
18,2020-05-03 16:34:00,911 Calls,36.144463,-86.86700400000001,6019 C HILL CIR - N Sector,POINT (-86.86700400000001 36.144463),12,37209,NASHVILLE
58,2020-05-03 16:41:00,911 Calls,36.144161,-86.866943,6019 B HILL CIRCLE - N SECTOR,POINT (-86.86694300000001 36.144161),12,37209,NASHVILLE
129,2020-05-03 16:57:00,911 Calls,36.134215999999995,-86.909173,5758 RIVER RD - SE,POINT (-86.909173 36.134216),12,37209,NASHVILLE
131,2020-05-03 16:57:00,911 Calls,36.134215999999995,-86.909172,5758 RIVER RD - SE,POINT (-86.909172 36.134216),12,37209,NASHVILLE
147,2020-05-03 17:00:00,911 Calls,36.148410999999996,-86.823708,3201C ELKINS AVE - SW,POINT (-86.823708 36.148411),12,37209,NASHVILLE
194,2020-05-03 17:10:00,911 Calls,36.142402000000004,-86.887114,3744B ANNEX AVE - SW,POINT (-86.887114 36.142402),12,37209,NASHVILLE
196,2020-05-03 17:11:00,911 Calls,36.14237,-86.881964,3744B ANNEX AVE - SW,POINT (-86.881964 36.14237),12,37209,NASHVILLE
216,2020-05-03 17:16:00,911 Calls,36.153946000000005,-86.829736,410 38TH AVE N - S,POINT (-86.829736 36.153946),12,37209,NASHVILLE
226,2020-05-03 17:18:00,911 Calls,36.134215999999995,-86.909172,5758 RIVER RD - SE,POINT (-86.909172 36.134216),12,37209,NASHVILLE
229,2020-05-03 17:19:00,911 Calls,36.169964,-86.85994699999999,1820 LINDER INDUSTRIAL DR - SE,POINT (-86.85994699999999 36.169964),12,37209,NASHVILLE
242,2020-05-03 17:21:00,911 Calls,36.151747,-86.879582,6019B HILL CIRCLE - N SECTOR,POINT (-86.879582 36.151747),12,37209,NASHVILLE
274,2020-05-03 17:30:00,911 Calls,36.136576,-86.858897,102 WOODMONT BOULEVARD - SW SECTOR,POINT (-86.858897 36.136576),12,37209,NASHVILLE
296,2020-05-03 17:37:00,911 Calls,36.142433000000004,-86.881897,3744B ANNEX AVE - N,POINT (-86.881897 36.142433),12,37209,NASHVILLE
305,2020-05-03 17:39:00,911 Calls,36.153946000000005,-86.829735,410 38TH AVE N - S,POINT (-86.829735 36.153946),12,37209,NASHVILLE
308,2020-05-03 17:40:00,911 Calls,36.159634000000004,-86.841881,4507 D KENTUCKY AVE - SE Sector,POINT (-86.841881 36.159634),12,37209,NASHVILLE
369,2020-05-03 17:50:00,911 Calls,36.118722999999996,-86.972945,201 FORREST VALLEY DR - N,POINT (-86.972945 36.118723),12,37209,NASHVILLE
382,2020-05-03 17:52:00,911 Calls,36.153946000000005,-86.829736,410 38TH AVE N - SW,POINT (-86.829736 36.153946),12,37209,NASHVILLE
390,2020-05-03 17:54:00,911 Calls,36.105205,-86.93887,201 FORREST VALLEY DR - N,POINT (-86.93886999999999 36.105205),12,37209,NASHVILLE
409,2020-05-03 17:57:00,911 Calls,36.149311,-86.851108,5619 Charlotte Pike - SE Sector,POINT (-86.851108 36.149311),12,37209,NASHVILLE
424,2020-05-03 18:00:00,911 Calls,36.150372999999995,-86.851451,5623 CHARLOTTE PIKE - SE,POINT (-86.851451 36.15037299999999),12,37209,NASHVILLE
485,2020-05-03 18:12:00,911 Calls,36.095946999999995,-86.940674,201 FORREST VALLEY DR - SECTOR S,POINT (-86.940674 36.095947),12,37209,NASHVILLE
498,2020-05-03 18:15:00,911 Calls,36.142917,-86.86014200000001,WIRELESS CALLER,POINT (-86.86014200000001 36.142917),12,37209,NASHVILLE
515,2020-05-03 18:19:00,911 Calls,36.118369,-86.971765,201 FORREST VALLEY DR - SECTOR NW,POINT (-86.971765 36.118369),12,37209,NASHVILLE
533,2020-05-03 18:22:00,911 Calls,36.148410999999996,-86.823708,3201C ELKINS AVE - SW,POINT (-86.823708 36.148411),12,37209,NASHVILLE
543,2020-05-03 18:25:00,911 Calls,36.136715,-86.858339,WIRELESS CALLER,POINT (-86.858339 36.136715),12,37209,NASHVILLE
546,2020-05-03 18:25:00,911 Calls,36.143131,-86.84437,5706-B KNOB RD - SECTOR SE,POINT (-86.84437 36.143131),12,37209,NASHVILLE
565,2020-05-03 18:28:00,911 Calls,36.141135999999996,-86.83574399999999,3201C ELKINS AVE - SW,POINT (-86.83574399999999 36.141136),12,37209,NASHVILLE
579,2020-05-03 18:30:00,911 Calls,36.149139,-86.837482,410 38TH AVE N - SW,POINT (-86.83748199999999 36.149139),12,37209,NASHVILLE
583,2020-05-03 18:30:00,911 Calls,36.147498999999996,-86.88314799999999,7116 E CHARLOTTE PIKE - NE SECTOR,POINT (-86.88314799999999 36.147499),12,37209,NASHVILLE
585,2020-05-03 18:30:00,911 Calls,36.133410999999995,-86.864586,3201C ELKINS AVE - SW,POINT (-86.864586 36.133411),12,37209,NASHVILLE
597,2020-05-03 18:32:00,911 Calls,36.132456,-86.906018,5758 RIVER RD - SE,POINT (-86.906018 36.132456),12,37209,NASHVILLE
598,2020-05-03 18:32:00,911 Calls,36.133410999999995,-86.864583,3201C ELKINS AVE - SW,POINT (-86.864583 36.133411),12,37209,NASHVILLE
600,2020-05-03 18:33:00,911 Calls,36.149139,-86.837479,410 38TH AVE N - SW,POINT (-86.837479 36.149139),12,37209,NASHVILLE
614,2020-05-03 18:36:00,911 Calls,36.156746000000005,-86.88331600000001,3744-B OLD HICKORY BLVD - SECTOR NE,POINT (-86.88331600000001 36.15674600000001),12,37209,NASHVILLE
618,2020-05-03 18:37:00,911 Calls,36.148893,-86.847503,4511 KENTUCKY AVE - W SECTOR,POINT (-86.847503 36.148893),12,37209,NASHVILLE
744,2020-05-03 18:56:00,911 Calls,36.134215999999995,-86.909149,5758 RIVER RD - SE,POINT (-86.909149 36.134216),12,37209,NASHVILLE
769,2020-05-03 18:59:00,911 Calls,36.149162,-86.85883299999999,5619 CHARLOTTE PIKE - NE Sector,POINT (-86.85883299999999 36.149162),12,37209,NASHVILLE
771,2020-05-03 18:59:00,911 Calls,36.153463,-86.852653,WIRELESS CALLER,POINT (-86.852653 36.153463),12,37209,NASHVILLE
786,2020-05-03 19:03:00,911 Calls,36.148517,-86.832654,WIRELESS CALLER,POINT (-86.83265400000001 36.148517),12,37209,NASHVILLE
810,2020-05-03 19:07:00,911 Calls,36.149225,-86.83759,WIRELESS CALLER,POINT (-86.83759000000001 36.149225),12,37209,NASHVILLE
812,2020-05-03 19:07:00,911 Calls,36.096439000000004,-86.940844,301 FOREST VALLEY DR - N,POINT (-86.940844 36.096439),12,37209,NASHVILLE
822,2020-05-03 19:10:00,911 Calls,36.142756,-86.859949,410 38TH AVE N - SW,POINT (-86.859949 36.142756),12,37209,NASHVILLE
826,2020-05-03 19:10:00,911 Calls,36.143196,-86.886234,3744B ANNEX AVE - SW,POINT (-86.886234 36.143196),12,37209,NASHVILLE
878,2020-05-03 19:20:00,911 Calls,36.09763,-86.92399999999999,WIRELESS CALLER,POINT (-86.92399999999999 36.09763),12,37209,NASHVILLE
936,2020-05-03 19:32:00,911 Calls,36.133786,-86.890333,WIRELESS CALLER,POINT (-86.890333 36.133786),12,37209,NASHVILLE
992,2020-05-03 19:46:00,911 Calls,36.132778,-86.889646,3744B ANNEX AVE - SW,POINT (-86.889646 36.132778),12,37209,NASHVILLE
1014,2020-05-03 19:53:00,911 Calls,36.13663,-86.858876,102 WOODMONT BOULEVARD - N SECTOR,POINT (-86.858876 36.13663),12,37209,NASHVILLE
1042,2020-05-03 20:00:00,911 Calls,36.151339,-86.872737,WIRELESS CALLER,POINT (-86.872737 36.151339),12,37209,NASHVILLE
1047,2020-05-03 20:02:00,911 Calls,36.154407,-86.829264,WIRELESS CALLER,POINT (-86.82926399999999 36.154407),12,37209,NASHVILLE
1110,2020-05-03 20:18:00,911 Calls,36.134570000000004,-86.88971,3744B ANNEX AVE - SW,POINT (-86.88970999999999 36.13457),12,37209,NASHVILLE
1121,2020-05-03 20:21:00,911 Calls,36.147273,-86.86958299999999,4507D KENTUCKY AV - SW,POINT (-86.86958299999999 36.147273),12,37209,NASHVILLE
1142,2020-05-03 20:28:00,911 Calls,36.143657,-86.87921800000001,WIRELESS CALLER,POINT (-86.87921800000001 36.143657),12,37209,NASHVILLE
1191,2020-05-03 20:45:00,911 Calls,36.097609000000006,-86.924021,WIRELESS CALLER,POINT (-86.924021 36.09760900000001),12,37209,NASHVILLE
1232,2020-05-03 21:00:00,911 Calls,36.150588,-86.877995,3744-B OLD HICKORY BLVD - SECTOR NE,POINT (-86.877995 36.150588),12,37209,NASHVILLE
1235,2020-05-03 21:02:00,911 Calls,36.131791,-86.90691899999999,7116 E CHARLOTTE PIKE - NE SECTOR,POINT (-86.90691899999999 36.131791),12,37209,NASHVILLE
1312,2020-05-03 21:36:00,911 Calls,36.11765,-86.91224100000001,WIRELESS CALLER,POINT (-86.91224100000001 36.11765),12,37209,NASHVILLE
1338,2020-05-03 21:52:00,911 Calls,36.134215999999995,-86.909173,5758 RIVER RD - SE,POINT (-86.909173 36.134216),12,37209,NASHVILLE
1375,2020-05-03 22:10:00,911 Calls,36.145384,-86.871729,1816 LINDER INDUSTRIAL DR - S SECTOR,POINT (-86.871729 36.145384),12,37209,NASHVILLE
1376,2020-05-03 22:10:00,911 Calls,36.140084,-86.879604,3744-B OLD HICKORY BLVD - SECTOR S,POINT (-86.879604 36.140084),12,37209,NASHVILLE
1413,2020-05-03 22:24:00,911 Calls,36.169715999999994,-86.859711,1816 LINDER INDUSTRIAL DR - S SECTOR,POINT (-86.859711 36.16971599999999),12,37209,NASHVILLE
1417,2020-05-03 22:25:00,911 Calls,36.105891,-86.937561,301 FOREST VALLEY DR - N,POINT (-86.937561 36.105891),12,37209,NASHVILLE
1424,2020-05-03 22:28:00,911 Calls,36.167625,-86.821152,2101-D HEIMAN ST - SECTOR SW,POINT (-86.821152 36.167625),12,37209,NASHVILLE
1469,2020-05-03 22:53:00,911 Calls,36.125096,-86.926918,5758 RIVER RD - SW,POINT (-86.926918 36.125096),12,37209,NASHVILLE
1475,2020-05-03 22:56:00,911 Calls,36.150727,-86.865764,301 FOREST VALLEY DR - N,POINT (-86.865764 36.150727),12,37209,NASHVILLE
6,2020-05-03 16:31:00,911 Calls,36.047151,-86.962538,WIRELESS CALLER,POINT (-86.962538 36.047151),7,37221,NASHVILLE
9,2020-05-03 16:32:00,911 Calls,36.030716,-86.981613,8621C HASELTON RD - NE,POINT (-86.981613 36.030716),7,37221,NASHVILLE
29,2020-05-03 16:36:00,911 Calls,36.012314,-87.024445,9683B HWY 96 - SE,POINT (-87.024445 36.012314),7,37221,NASHVILLE
32,2020-05-03 16:36:00,911 Calls,36.068748,-86.945717,619 MCPHERSON DR - N SECTOR,POINT (-86.945717 36.068748),7,37221,NASHVILLE
33,2020-05-03 16:36:00,911 Calls,36.082481,-86.942861,8071 REGENCY DR.,POINT (-86.94286099999999 36.082481),7,37221,NASHVILLE
39,2020-05-03 16:36:00,911 Calls,36.030715,-86.981592,8621C HASELTON RD - NE,POINT (-86.98159200000001 36.030715),7,37221,NASHVILLE
63,2020-05-03 16:43:00,911 Calls,36.067398,-86.899025,398D CHIMNEY HILL RD-HWY 70 - SE,POINT (-86.89902499999999 36.067398),7,37221,NASHVILLE
82,2020-05-03 16:47:00,911 Calls,36.077836,-87.026954,8013 C MCCRORY LN - N,POINT (-87.026954 36.077836),7,37221,NASHVILLE
161,2020-05-03 17:03:00,911 Calls,36.057601,-86.929836,619D MCPHERSON DR - E,POINT (-86.92983599999999 36.057601),7,37221,NASHVILLE
234,2020-05-03 17:19:00,911 Calls,36.038612,-86.98554200000001,8609 LEWIS RD. - N SECTOR,POINT (-86.98554200000001 36.038612),7,37221,NASHVILLE
331,2020-05-03 17:44:00,911 Calls,36.072277,-86.912239,398D CHIMNEY HILL RD-HWY 70 - NW,POINT (-86.912239 36.072277),7,37221,NASHVILLE
360,2020-05-03 17:49:00,911 Calls,36.039115,-86.97036999999999,619 MCPHERSON DRIVE - SW SECTOR,POINT (-86.97036999999999 36.039115),7,37221,NASHVILLE
408,2020-05-03 17:57:00,911 Calls,36.038525,-87.03648100000001,WIRELESS CALLER,POINT (-87.03648100000001 36.038525),7,37221,NASHVILLE
453,2020-05-03 18:05:00,911 Calls,36.077835,-87.026955,8013 C MCCRORY LN - N,POINT (-87.026955 36.077835),7,37221,NASHVILLE
470,2020-05-03 18:09:00,911 Calls,36.083983,-86.93509300000001,201 FORREST VALLEY DR - SECTOR S,POINT (-86.93509300000001 36.083983),7,37221,NASHVILLE
524,2020-05-03 18:20:00,911 Calls,36.083533,-86.994724,9005 NEWSOM STATION RD - SECTOR NE,POINT (-86.99472400000001 36.083533),7,37221,NASHVILLE
527,2020-05-03 18:21:00,911 Calls,36.049822999999996,-86.93620899999999,201 FORREST VALLEY DR - SECTOR S,POINT (-86.93620899999999 36.049823),7,37221,NASHVILLE
676,2020-05-03 18:47:00,911 Calls,36.044995,-86.99809300000001,8013 C MCCRORY LN - SE,POINT (-86.99809300000001 36.044995),7,37221,NASHVILLE
685,2020-05-03 18:48:00,911 Calls,36.084305,-86.93539399999999,201 FORREST VALLEY DR - SECTOR S,POINT (-86.93539399999999 36.084305),7,37221,NASHVILLE
696,2020-05-03 18:49:00,911 Calls,36.085378000000006,-87.00332900000001,9005 NEWSOM STATION RD - N,POINT (-87.00332900000001 36.08537800000001),7,37221,NASHVILLE
725,2020-05-03 18:54:00,911 Calls,36.058448999999996,-86.968246,8621C HASELTON RD - NE,POINT (-86.96824599999999 36.058449),7,37221,NASHVILLE
787,2020-05-03 19:03:00,911 Calls,36.030716,-86.981613,8621C HASELTON RD - NE,POINT (-86.981613 36.030716),7,37221,NASHVILLE
816,2020-05-03 19:09:00,911 Calls,36.109293,-86.969233,WIRELESS CALLER,POINT (-86.969233 36.109293),7,37221,NASHVILLE
848,2020-05-03 19:15:00,911 Calls,36.088071,-86.973202,8251 CHARLOTTE PIKE - SE,POINT (-86.973202 36.088071),7,37221,NASHVILLE
884,2020-05-03 19:20:00,911 Calls,36.030425,-86.990197,8621C HASELTON RD - W,POINT (-86.99019699999999 36.030425),7,37221,NASHVILLE
888,2020-05-03 19:21:00,911 Calls,36.090881,-86.939705,7650 HWY 70 S - N SECTOR,POINT (-86.939705 36.090881),7,37221,NASHVILLE
921,2020-05-03 19:28:00,911 Calls,36.071655,-86.911362,398-B CHIMNEY HILL - NE Sector,POINT (-86.911362 36.071655),7,37221,NASHVILLE
937,2020-05-03 19:32:00,911 Calls,36.073769,-86.91507299999999,388 CHIMNEY HL - NW,POINT (-86.91507299999999 36.073769),7,37221,NASHVILLE
938,2020-05-03 19:32:00,911 Calls,36.083855,-86.934731,398 CHIMNEY HILL - W Sector,POINT (-86.934731 36.083855),7,37221,NASHVILLE
1017,2020-05-03 19:53:00,911 Calls,36.030715,-86.98161400000001,8621C HASELTON RD - NE,POINT (-86.98161400000001 36.030715),7,37221,NASHVILLE
1108,2020-05-03 20:17:00,911 Calls,36.083479,-86.934664,7650 HWY 70 S - E SECTOR,POINT (-86.934664 36.083479),7,37221,NASHVILLE
1126,2020-05-03 20:23:00,911 Calls,36.072589,-86.943977,WIRELESS CALLER,POINT (-86.943977 36.072589),7,37221,NASHVILLE
1256,2020-05-03 21:10:00,911 Calls,36.013377,-87.043583,8621C HASELTON RD - W,POINT (-87.043583 36.013377),7,37221,NASHVILLE
1271,2020-05-03 21:18:00,911 Calls,36.039094,-86.970241,619 MCPHERSON DRIVE - SW SECTOR,POINT (-86.970241 36.039094),7,37221,NASHVILLE
1275,2020-05-03 21:20:00,911 Calls,36.086065000000005,-86.943011,201 FORREST VALLEY DR - SECTOR S,POINT (-86.943011 36.086065),7,37221,NASHVILLE
1318,2020-05-03 21:38:00,911 Calls,36.064886,-86.925459,619D MCPHERSON DR - E,POINT (-86.925459 36.064886),7,37221,NASHVILLE
1327,2020-05-03 21:45:00,911 Calls,36.115376,-86.965091,5758 RIVER RD - SW,POINT (-86.965091 36.115376),7,37221,NASHVILLE
1328,2020-05-03 21:45:00,911 Calls,36.089433,-87.00255600000001,9005 NEWSOM STATION RD - SECTOR NE,POINT (-87.00255600000001 36.089433),7,37221,NASHVILLE
1340,2020-05-03 21:53:00,911 Calls,36.048406,-87.039635,1029 FIRE TOWER RD - SE,POINT (-87.039635 36.048406),7,37221,NASHVILLE
1405,2020-05-03 22:21:00,911 Calls,36.077835,-87.02693199999999,8013C MCCRORY LN - SW,POINT (-87.02693199999999 36.077835),7,37221,NASHVILLE
1508,2020-05-03 23:29:00,911 Calls,36.082706,-86.95213299999999,7650 HWY70 S - NE Sector,POINT (-86.95213299999999 36.082706),7,37221,NASHVILLE
1523,2020-05-03 23:49:00,911 Calls,36.081033000000005,-86.897478,398D CHIMNEY HILL RD-HWY 70 - NE,POINT (-86.89747800000001 36.08103300000001),7,37221,NASHVILLE
1531,2020-05-03 23:59:00,911 Calls,36.071656,-86.911361,WIRELESS CALLER,POINT (-86.911361 36.071656),7,37221,NASHVILLE
7,2020-05-03 16:32:00,911 Calls,36.041453999999995,-86.66590699999999,WIRELESS CALLER,POINT (-86.66590699999999 36.04145399999999),51,37013,ANTIOCH
51,2020-05-03 16:40:00,911 Calls,36.071913,-86.632261,2747 MURFREESBORO PIKE - N,POINT (-86.632261 36.071913),51,37013,ANTIOCH
72,2020-05-03 16:44:00,911 Calls,36.053256,-86.678545,5138 MOUNT VIEW RD - SW SECTOR,POINT (-86.678545 36.053256),51,37013,ANTIOCH
98,2020-05-03 16:51:00,911 Calls,36.019514,-86.652389,5533 A PETTUS RD - SECTOR SE,POINT (-86.652389 36.019514),51,37013,ANTIOCH
130,2020-05-03 16:57:00,911 Calls,36.051056,-86.603142,3630 PIN HOOK RD - SE,POINT (-86.60314200000001 36.051056),51,37013,ANTIOCH
136,2020-05-03 16:58:00,911 Calls,36.040703,-86.667387,WIRELESS CALLER,POINT (-86.66738700000001 36.040703),51,37013,ANTIOCH
138,2020-05-03 16:59:00,911 Calls,36.068748,-86.692021,3930 APACHE TRL - NW,POINT (-86.692021 36.068748),51,37013,ANTIOCH
166,2020-05-03 17:04:00,911 Calls,36.039287,-86.67125,5533 A PETTUS RD - SECTOR N,POINT (-86.67125 36.039287),51,37013,ANTIOCH
189,2020-05-03 17:10:00,911 Calls,36.048063,-86.688416,WIRELESS CALLER,POINT (-86.688416 36.048063),51,37013,ANTIOCH
192,2020-05-03 17:10:00,911 Calls,36.051056,-86.603165,3630 PIN HOOK RD - SE,POINT (-86.603165 36.051056),51,37013,ANTIOCH
202,2020-05-03 17:12:00,911 Calls,36.025329,-86.69622700000001,6309 B PETTUS - SECTOR SW,POINT (-86.69622700000001 36.025329),51,37013,ANTIOCH
204,2020-05-03 17:14:00,911 Calls,36.048943,-86.69126999999999,WIRELESS CALLER,POINT (-86.69126999999999 36.048943),51,37013,ANTIOCH
